quest_id,title,category,difficulty,cost,location,impact,repeatable
132,長く使える製品を選ぶ,資源循環,2,なし,家,3,はい
133,修理可能か調べる,資源循環,2,なし,どこでも,3,はい
134,リユース方法を考える,資源循環,2,なし,家,2,はい
135,ゴミ出し回数を減らす,資源循環,3,なし,家,2,はい
136,リサイクルマークを確認する,資源循環,2,なし,どこでも,3,はい
137,ごみ削減行動を共有する,資源循環,2,なし,家,2,はい
138,ごみ削減の工夫を1つ行う,資源循環,2,なし,家,2,はい
139,ごみ問題について調べる,資源循環,2,なし,どこでも,2,はい
140,今日のごみ行動を振り返る,資源循環,2,なし,どこでも,1,はい
141,節水を意識する,水・自然・学び,2,なし,どこでも,4,はい
142,歯磨き中に水を止める,水・自然・学び,2,なし,どこでも,2,はい
143,食器洗いの水を減らす,水・自然・学び,3,なし,どこでも,2,はい
144,風呂の残り湯を再利用する,水・自然・学び,2,中,どこでも,2,はい
145,節水型設備を選ぶ,水・自然・学び,5,高,どこでも,5,いいえ
146,水を汚さない洗剤を使う,水・自然・学び,2,なし,どこでも,2,はい
147,油や薬品を流さない,水・自然・学び,2,なし,どこでも,2,はい
148,雨水を活用する,水・自然・学び,2,なし,どこでも,2,はい
149,雨水タンクを検討する,水・自然・学び,5,高,どこでも,2,いいえ
150,水漏れをすぐ修理する,水・自然・学び,2,なし,どこでも,3,はい
151,緑のカーテンを育てる,水・自然・学び,2,なし,どこでも,2,はい
152,植栽で断熱効果を高める,水・自然・学び,2,なし,どこでも,5,はい
153,ベランダや庭で植物を育てる,水・自然・学び,2,なし,どこでも,2,はい
154,在来種の植物を植える,水・自然・学び,2,なし,どこでも,2,はい
155,生物が住みやすい環境を作る,水・自然・学び,2,なし,どこでも,2,はい
156,植樹活動に参加する,水・自然・学び,4,中,外,2,いいえ
157,自然保護団体を支援する,水・自然・学び,4,なし,どこでも,2,いいえ
158,生物多様性に配慮した商品を選ぶ,水・自然・学び,2,なし,どこでも,2,はい
159,エコツーリズムに参加する,水・自然・学び,4,中,外,2,いいえ
160,環境認証材の商品を選ぶ,水・自然・学び,2,中,どこでも,2,はい
161,環境認証ラベルを確認する,水・自然・学び,2,なし,どこでも,2,はい
162,環境配慮企業の商品を選ぶ,水・自然・学び,2,なし,どこでも,2,はい
163,シェアリングサービスを使う,水・自然・学び,2,なし,どこでも,3,はい
164,環境金融・投資を調べる,水・自然・学び,2,なし,どこでも,2,はい
165,環境学習会に参加する,水・自然・学び,4,中,どこでも,2,いいえ
166,環境映画やドキュメンタリーを見る,水・自然・学び,2,なし,どこでも,2,はい
167,環境フットプリントを計算する,水・自然・学び,2,なし,どこでも,2,はい
168,GX行動をSNSで発信する,水・自然・学び,2,なし,どこでも,2,はい
169,家族や友人と環境の話をする,水・自然・学び,2,なし,どこでも,2,はい
170,子どもに環境の大切さを伝える,水・自然・学び,2,なし,どこでも,2,はい
171,職場や学校で環境行動を提案する,水・自然・学び,4,なし,職場/学校,2,いいえ
172,環境団体の活動に参加する,水・自然・学び,4,中,どこでも,2,いいえ
173,環境署名活動に参加する,水・自然・学び,4,中,どこでも,2,いいえ
174,環境政策について調べる,水・自然・学び,2,なし,どこでも,2,はい
175,環境に関するニュースを読む,水・自然・学び,2,なし,どこでも,2,はい
176,環境行動を記録する,水・自然・学び,2,なし,どこでも,2,はい
177,今日のGX行動を確認する,水・自然・学び,2,なし,どこでも,2,はい
178,明日のGX行動を決める,水・自然・学び,2,なし,どこでも,2,はい
179,環境への影響を振り返る,水・自然・学び,2,なし,どこでも,1,はい
180,GX行動を継続する,水・自然・学び,2,なし,どこでも,2,はい
